Chatbot智能对话系统测试用例文档
测试用例编号	测试用例名称	优先级	前置条件	操作步骤	预期结果
19	验证普通对话显示对应图标	P1	用户已创建一个普通对话任务未选择任何功能直接聊天	1. 展开左侧边栏<br>2. 在历史任务列表中找到该普通对话任务<br>3. 观察任务项左侧的图标<br>4. 记录图标的样式和颜色	1. 左侧边栏成功展开<br>2. 成功定位到普通对话任务<br>3. 任务项左侧显示图标<br>4. 图标为普通对话图标如聊天气泡图标与设计稿一致
20	验证数据分析对话显示对应图标	P1	用户已创建一个数据分析对话任务选择了智能分析功能	1. 展开左侧边栏<br>2. 在历史任务列表中找到该数据分析对话任务<br>3. 观察任务项左侧的图标<br>4. 与普通对话图标进行对比	1. 左侧边栏成功展开<br>2. 成功定位到数据分析对话任务<br>3. 任务项左侧显示图标<br>4. 图标为数据分析图标如图表或数据图标与普通对话图标明显不同与设计稿一致
21	验证系统类型对话显示对应图标	P1	用户已创建一个对话并成功生成系统对话已升级为系统类型	1. 展开左侧边栏<br>2. 在我的系统区域找到该系统对话任务<br>3. 观察任务项左侧的图标<br>4. 与普通对话和数据分析图标进行对比	1. 左侧边栏成功展开<br>2. 成功在我的系统区域定位到系统对话任务<br>3. 任务项左侧显示图标<br>4. 图标为系统图标默认系统图标或用户自定义图标与其他类型图标明显不同
22	验证不同类型对话图标在列表中的显示一致性	P1	历史任务列表中同时存在普通对话数据分析对话和系统对话	1. 展开左侧边栏<br>2. 滚动查看整个历史任务列表<br>3. 观察所有任务项的图标显示<br>4. 对比同类型任务的图标	1. 左侧边栏成功展开<br>2. 可以查看所有历史任务<br>3. 每个任务项都正确显示其类型对应的图标<br>4. 相同类型的任务使用相同的图标样式图标大小位置一致视觉效果统一
23	验证对话类型变化后图标自动更新	P1	用户正在进行一个搭建系统意图的普通对话	1. 观察当前对话在历史列表中的图标<br>2. 在对话中点击生成系统按钮<br>3. 等待系统生成成功<br>4. 观察对话类型升级提示<br>5. 查看左侧边栏历史任务列表<br>6. 找到该对话任务观察其图标	1. 对话显示普通对话图标<br>2. 生成系统按钮响应点击<br>3. 系统成功生成显示成功提示或跳转到系统页面<br>4. 系统提示对话已升级为系统类型<br>5. 历史任务列表正常显示<br>6. 该对话任务的图标已自动从普通对话图标更新为系统图标
24	验证显示对话编辑和删除选项	P1	左侧边栏历史任务列表中至少有一个历史任务	1. 展开左侧边栏<br>2. 将鼠标悬停在某个历史任务项上<br>3. 观察是否出现更多操作按钮<br>4. 右键点击该任务项或点击更多按钮<br>5. 观察弹出的菜单内容	1. 左侧边栏成功展开<br>2. 鼠标悬停时任务项高亮或显示操作按钮<br>3. 出现编辑和删除相关的交互入口<br>4. 点击操作成功<br>5. 弹出菜单显示编辑和删除两个选项
25	验证编辑对话名称功能	P1	左侧边栏历史任务列表中有一个名为对话1的任务	1. 找到名为对话1的历史任务<br>2. 点击更多按钮或右键点击选择编辑<br>3. 观察编辑界面的显示<br>4. 将对话名称修改为零售项目需求讨论<br>5. 点击确定或保存按钮<br>6. 观察历史任务列表的变化	1. 成功定位到对话1任务<br>2. 编辑选项响应点击<br>3. 显示编辑弹窗或内联编辑框当前名称对话1已填充<br>4. 名称修改成功输入框显示新名称<br>5. 保存操作执行<br>6. 历史任务列表中该任务的名称更新为零售项目需求讨论修改立即生效
26	验证编辑对话名称时取消操作	P1	左侧边栏历史任务列表中有一个名为数据分析任务的任务	1. 找到名为数据分析任务的历史任务<br>2. 点击编辑选项<br>3. 将名称修改为临时名称测试<br>4. 点击取消按钮或按ESC键<br>5. 观察历史任务列表	1. 成功定位到数据分析任务<br>2. 编辑界面显示<br>3. 名称临时修改为临时名称测试<br>4. 取消操作执行编辑界面关闭<br>5. 历史任务列表中该任务的名称仍为数据分析任务修改未保存
27	验证删除对话功能	P1	左侧边栏历史任务列表中有一个名为测试对话待删除的任务	1. 记录当前历史任务的总数量<br>2. 找到名为测试对话待删除的历史任务<br>3. 点击更多按钮或右键点击选择删除<br>4. 观察是否出现删除确认提示<br>5. 点击确定或删除按钮确认删除<br>6. 观察历史任务列表的变化<br>7. 尝试搜索测试对话待删除	1. 任务总数已记录假设为N个<br>2. 成功定位到测试对话待删除任务<br>3. 删除选项响应点击<br>4. 显示删除确认弹窗提示确定要删除该对话吗或类似信息<br>5. 确认操作执行<br>6. 历史任务列表中测试对话待删除任务消失总数量变为N减1个<br>7. 无法找到该任务数据已被删除
28	验证删除对话时取消操作	P1	左侧边栏历史任务列表中有一个名为重要对话不删的任务	1. 记录当前历史任务的总数量<br>2. 找到名为重要对话不删的历史任务<br>3. 点击删除选项<br>4. 在删除确认弹窗中点击取消按钮<br>5. 观察历史任务列表<br>6. 点击该任务查看对话内容	1. 任务总数已记录假设为N个<br>2. 成功定位到重要对话不删任务<br>3. 删除确认弹窗显示<br>4. 取消操作执行弹窗关闭<br>5. 重要对话不删任务仍然存在于列表中总数量仍为N个<br>6. 对话内容正常加载数据完好无损
29	验证系统图标上传入口显示	P2	用户已有一个系统类型的对话任务	1. 找到系统类型的对话任务<br>2. 点击编辑选项<br>3. 观察编辑界面的内容<br>4. 查找图标上传或图标设置相关的区域	1. 成功定位到系统类型任务<br>2. 编辑界面显示<br>3. 编辑界面包含系统名称图标等设置项<br>4. 显示当前图标并有上传图标或更改图标按钮
30	验证上传符合要求的系统图标PNG格式	P2	用户已进入系统编辑界面,准备好一张PNG格式100x100像素100KB大小的图片	1. 点击上传图标或图标区域<br>2. 在文件选择对话框中选择准备好的PNG图片<br>3. 点击打开或确定<br>4. 观察上传过程<br>5. 等待上传完成<br>6. 点击保存编辑<br>7. 查看历史列表中该系统的图标	1. 文件选择对话框打开<br>2. 成功选择PNG图片<br>3. 文件选择对话框关闭<br>4. 显示上传进度或上传中提示<br>5. 上传成功编辑界面显示新上传的图标预览<br>6. 编辑保存成功<br>7. 历史列表中该系统显示新上传的自定义图标
31	验证上传不符合要求的图标文件过大	P2	用户已进入系统编辑界面,准备好一张10MB大小的图片	1. 点击上传图标<br>2. 选择准备好的10MB图片<br>3. 点击打开<br>4. 观察系统响应	1. 文件选择对话框打开<br>2. 成功选择大文件图片<br>3. 文件选择对话框关闭<br>4. 系统显示错误提示图片文件过大请选择小于5MB的图片或类似信息上传失败图标未更新
32	验证上传不符合要求的图标格式不支持	P2	用户已进入系统编辑界面,准备好一张BMP格式的图片	1. 点击上传图标<br>2. 选择准备好的BMP格式图片<br>3. 点击打开<br>4. 观察系统响应	1. 文件选择对话框打开<br>2. 成功选择BMP图片<br>3. 文件选择对话框关闭<br>4. 系统显示错误提示不支持的图片格式请上传PNG JPG或GIF格式或类似信息上传失败
33	验证上传符合要求的系统图标JPG和GIF格式	P2	用户已进入系统编辑界面,准备好一张JPG图片和一张GIF图片均符合大小要求	1. 点击上传图标选择JPG图片并上传<br>2. 观察上传结果<br>3. 再次编辑该系统<br>4. 点击上传图标选择GIF图片并上传<br>5. 观察上传结果	1. JPG图片选择成功<br>2. JPG图片上传成功显示新图标<br>3. 再次进入编辑界面<br>4. GIF图片选择成功<br>5. GIF图片上传成功图标更新为GIF图片系统支持多种图片格式
34	验证生成系统成功后对话升级为系统类型	P0	用户正在搭建系统意图下对话,对话标题为CRM客户管理系统	1. 在对话中点击生成系统按钮<br>2. 等待系统生成过程<br>3. 观察系统生成结果<br>4. 查看对话界面的变化<br>5. 查看左侧边栏历史列表<br>6. 找到CRM客户管理系统对话<br>7. 观察其显示位置和类型标识	1. 生成系统按钮响应点击显示加载状态<br>2. 系统生成过程执行显示进度或加载动画<br>3. 系统生成成功显示成功提示<br>4. 对话界面显示系统升级提示或跳转到生成的系统页面<br>5. 左侧边栏正常显示<br>6. 成功找到CRM客户管理系统<br>7. 该对话从历史任务区移动到我的系统区类型已升级为系统
35	验证升级后对话图标从普通对话图标变为系统图标	P0	对话ERP系统搭建刚刚通过生成系统升级为系统类型	1. 查看左侧边栏我的系统区域<br>2. 找到ERP系统搭建系统<br>3. 观察其图标<br>4. 与普通对话的图标进行对比	1. 我的系统区域正常显示<br>2. 成功找到ERP系统搭建系统<br>3. 图标清晰显示<br>4. 图标已从普通对话图标聊天气泡变为系统图标默认系统图标视觉上明显区别
36	验证升级后可访问生成的系统页面	P0	对话项目管理系统已升级为系统类型	1. 在左侧边栏我的系统区域找到项目管理系统<br>2. 点击该系统<br>3. 观察界面变化<br>4. 查看是否显示系统功能页面或系统管理界面	1. 成功定位到项目管理系统<br>2. 系统响应点击<br>3. 界面跳转或切换到系统页面<br>4. 显示生成的系统功能页面如仪表盘数据看板等用户可以访问和使用生成的系统
37	验证系统生成失败时对话不升级	P0	用户正在搭建系统意图下对话,但提供的需求信息不完整	1. 在对话中点击生成系统按钮<br>2. 等待系统处理<br>3. 观察系统响应假设生成失败<br>4. 查看错误提示信息<br>5. 查看左侧边栏历史列表<br>6. 确认该对话的类型和位置	1. 生成系统按钮响应点击<br>2. 系统尝试生成<br>3. 系统生成失败<br>4. 显示错误提示系统生成失败请完善需求信息后重试或类似信息<br>5. 历史列表正常显示<br>6. 该对话仍然保持普通对话类型位于历史任务区未升级为系统
38	验证对话升级为系统后不可降级	P0	对话库存管理系统已升级为系统类型	1. 在我的系统区域找到库存管理系统<br>2. 尝试编辑该系统<br>3. 查看编辑选项中是否有转回普通对话或类似降级选项<br>4. 尝试通过其他方式将系统降级为普通对话	1. 成功定位到库存管理系统<br>2. 编辑界面打开<br>3. 编辑选项中不包含降级选项只有修改名称图标等设置<br>4. 无法找到降级方式对话升级为系统后不可逆确保系统类型的稳定性
39	验证识别典型搭建系统意图关键词	P0	用户已进入对话界面	1. 在输入框输入我想搭建一个客户管理系统<br>2. 发送消息<br>3. 观察AI的回复内容和回复类型	1. 消息成功输入<br>2. 消息成功发送<br>3. AI识别为搭建系统意图回复包含业务梳理引导性问题如请描述您的客户管理需求等
40	验证搭建系统意图下的业务梳理引导流程	P0	AI已识别为搭建系统意图	1. AI提问请描述您的主要业务流程<br>2. 用户回答我们需要管理客户信息跟进销售机会<br>3. 观察AI的后续回复<br>4. 继续对话2到3轮	1. AI提出引导性问题<br>2. 用户回答成功发送<br>3. AI继续深入提问如需要哪些客户信息字段<br>4. AI持续引导用户梳理业务需求逐步完善系统需求
41	验证搭建系统意图下每次对话末尾显示生成系统按钮	P0	用户在搭建系统意图下进行对话	1. 发送第一条消息帮我搭建进销存系统<br>2. 等待AI回复完成<br>3. 观察回复末尾是否有按钮<br>4. 发送第二条消息回答AI的问题<br>5. 等待AI回复完成<br>6. 再次观察回复末尾	1. 消息成功发送<br>2. AI回复完成<br>3. 回复末尾显示生成系统按钮<br>4. 消息成功发送<br>5. AI回复完成<br>6. 回复末尾再次显示生成系统按钮每次对话都有此按钮
42	验证从其他意图切换到搭建系统意图	P0	用户正在进行通用对话	1. 输入通用问题今天天气怎么样<br>2. 等待AI回复<br>3. 输入我想搭建一个电商系统<br>4. 观察AI的回复变化	1. 消息成功发送<br>2. AI以通用对话模式回复天气问题<br>3. 消息成功发送<br>4. AI识别意图切换转为搭建系统引导模式开始询问电商系统需求
43	验证模糊意图的识别边界场景	P0	用户已进入对话界面	1. 输入模糊表述我需要一个东西来管理我的业务<br>2. 观察AI的回复<br>3. 观察是否有明确意图识别或询问具体需求	1. 消息成功发送<br>2. AI回复显示<br>3. AI识别意图不明确主动询问您是想搭建一个管理系统还是分析现有数据帮助用户明确意图
44	验证识别典型数据分析意图关键词	P0	用户已进入对话界面	1. 在输入框输入我需要分析销售数据<br>2. 发送消息<br>3. 观察AI的回复内容	1. 消息成功输入<br>2. 消息成功发送<br>3. AI识别为数据分析意图回复包含数据上传引导如请上传您的销售数据文件
45	验证数据分析意图下的数据上传引导	P0	AI已识别为数据分析意图	1. AI回复请上传您的数据文件<br>2. 观察回复中是否有上传组件或引导<br>3. 查看支持的文件格式说明	1. AI提供数据上传引导<br>2. 回复中显示上传按钮或文件拖放区域<br>3. 说明支持CSV Excel等格式
46	验证上传数据后的分析结果展示	P0	用户已在数据分析意图下上传了销售数据CSV文件	1. 点击开始分析或等待自动分析<br>2. 观察AI的处理过程<br>3. 等待分析完成<br>4. 查看分析结果的展示形式	1. 分析开始显示处理中状态<br>2. 显示分析进度或加载动画<br>3. 分析完成<br>4. 显示数据分析结果包含图表统计数据或文字分析报告
47	验证从其他意图切换到数据分析意图	P0	用户正在搭建系统意图下对话	1. 输入我现在不想搭建系统了<br>2. 等待AI回复<br>3. 输入帮我分析一下这个月的用户增长数据<br>4. 观察AI的回复变化	1. 消息成功发送<br>2. AI回复确认<br>3. 消息成功发送<br>4. AI识别意图切换转为数据分析模式提供数据上传引导
48	验证数据分析对话的Icon显示	P1	用户已完成一次数据分析对话	1. 点击新建任务<br>2. 查看左侧边栏历史任务列表<br>3. 找到刚才的数据分析对话<br>4. 观察其图标	1. 当前对话保存为历史任务<br>2. 历史任务列表正常显示<br>3. 成功定位到数据分析对话<br>4. 显示数据分析专用图标图表图标区别于普通对话
49	验证非特定意图的通用对话处理	P1	用户已进入对话界面	1. 输入什么是人工智能<br>2. 发送消息<br>3. 观察AI的回复<br>4. 输入给我讲个笑话<br>5. 观察AI的回复	1. 消息成功输入<br>2. 消息成功发送<br>3. AI以通用对话模式回答人工智能的问题不出现系统生成按钮<br>4. 消息成功发送<br>5. AI继续以通用模式回复内容与问题相关
50	验证通用对话的持续性	P1	用户在通用对话模式下	1. 连续提问5个不相关的通用问题<br>2. 观察每次AI的回复模式<br>3. 确认没有出现特定意图的引导	1. 5个问题全部成功发送<br>2. AI每次都正常回答问题保持通用对话模式<br>3. 回复中不包含系统生成按钮或数据上传引导
51	验证意图无法识别时的兜底处理	P1	用户已进入对话界面	1. 输入完全无意义的文字asdfghjkl12345<br>2. 发送消息<br>3. 观察AI的回复	1. 消息成功输入<br>2. 消息成功发送<br>3. AI给出合理的兜底回复如抱歉我没有理解您的意思您可以描述得更详细一些吗
52	验证思考过程在正文前显示	P1	用户已发送消息等待AI回复	1. 发送一个需要分析的问题如何提高电商转化率<br>2. 观察AI回复的结构<br>3. 识别思考过程和正文部分<br>4. 确认显示顺序	1. 消息成功发送<br>2. AI开始回复显示结构化内容<br>3. 可以区分思考过程和正文两个部分<br>4. 思考过程显示在正文之前顺序正确
53	验证思考过程的打字机效果	P1	用户已发送消息AI开始回复	1. 观察思考过程部分的文字显示方式<br>2. 注意文字是否逐字出现<br>3. 估算打字速度	1. 思考过程开始显示<br>2. 文字以打字机效果逐字逐句出现不是一次性显示<br>3. 打字速度约为30到50字符每秒流畅自然
54	验证思考过程内容的合理性	P1	用户已发送问题AI显示思考过程	1. 阅读思考过程的内容<br>2. 检查是否与用户问题相关<br>3. 对比思考过程和最终答案的关联性	1. 思考过程内容清晰可读<br>2. 思考过程与用户问题直接相关展示分析逻辑<br>3. 思考过程为最终答案提供推理基础逻辑连贯
55	验证正文在思考过程后显示	P0	AI正在回复用户问题	1. 观察AI回复的完整结构<br>2. 等待思考过程显示完成<br>3. 观察正文部分的开始位置	1. AI回复包含思考过程和正文两部分<br>2. 思考过程显示完成<br>3. 正文紧随思考过程之后开始显示位置正确
56	验证正文的打字机效果	P0	AI开始显示正文内容	1. 观察正文的文字显示方式<br>2. 注意文字出现的动画效果<br>3. 观察打字速度的流畅性	1. 正文以打字机效果显示<br>2. 文字逐字逐句出现动画流畅自然<br>3. 打字速度约为30到50字符每秒观看体验良好
57	验证正文中列表格式的正确渲染	P0	用户提问需要列表回答的问题	1. 发送问题电商系统需要哪些核心功能<br>2. 等待AI回复<br>3. 观察正文中的列表显示<br>4. 检查列表的格式和层级	1. 消息成功发送<br>2. AI回复包含列表内容<br>3. 列表以正确的格式显示序号或项目符号<br>4. 列表层级清晰缩进正确格式美观
58	验证正文中代码块的正确渲染	P0	用户询问技术问题需要代码示例	1. 发送问题如何用Python读取CSV文件<br>2. 等待AI回复<br>3. 观察正文中的代码块显示<br>4. 检查代码的格式和语法高亮	1. 消息成功发送<br>2. AI回复包含代码示例<br>3. 代码以代码块形式显示有明显的区域划分<br>4. 代码具有语法高亮格式整齐可读性强
59	验证正文中长文本的显示	P0	用户提问需要详细回答的问题	1. 发送复杂问题详细说明如何从零开始搭建一个电商系统<br>2. 等待AI回复<br>3. 观察长文本的显示效果<br>4. 滚动查看所有内容	1. 消息成功发送<br>2. AI生成详细的长文本回复<br>3. 长文本正常显示无截断或显示错误<br>4. 可以顺畅滚动查看所有内容排版合理
60	验证生成系统按钮在回答末尾显示	P0	用户在搭建系统意图下对话	1. 发送消息我想搭建CRM系统<br>2. 等待AI回复完成<br>3. 观察回复末尾的按钮<br>4. 记录按钮的位置和样式	1. 消息成功发送<br>2. AI回复完成<br>3. 回复末尾显示生成系统按钮<br>4. 按钮位置明显样式符合设计规范
61	验证点击生成系统按钮的交互	P0	搭建系统意图下AI回复末尾显示生成系统按钮	1. 点击生成系统按钮<br>2. 观察按钮的响应<br>3. 观察系统的处理状态<br>4. 等待处理完成	1. 按钮响应点击<br>2. 按钮显示加载状态或禁用状态<br>3. 系统显示正在生成系统的提示或进度<br>4. 系统生成完成或显示结果
62	验证未点击生成系统按钮时的自动消失	P0	搭建系统意图下AI回复末尾显示生成系统按钮	1. 不点击生成系统按钮<br>2. 发送下一条消息继续对话<br>3. 等待AI回复<br>4. 观察上一条回复的按钮状态	1. 按钮保持显示<br>2. 消息成功发送<br>3. AI回复新的消息<br>4. 上一条回复的生成系统按钮自动消失或隐藏
63	验证点击生成系统按钮后的按钮消失	P0	用户点击了生成系统按钮且系统生成成功	1. 观察生成成功后的对话界面<br>2. 查看之前显示生成系统按钮的位置<br>3. 确认按钮状态	1. 对话界面更新显示系统生成成功<br>2. 之前的生成系统按钮位置<br>3. 按钮已消失或被移除不再显示
64	验证回答中其他组件的渲染图表	P1	AI回复包含图表组件	1. 发送需要数据可视化回答的问题<br>2. 等待AI回复<br>3. 观察回复中的图表显示<br>4. 检查图表的交互功能	1. 消息成功发送<br>2. AI回复包含图表<br>3. 图表正确渲染显示清晰<br>4. 图表支持hover查看详情等交互功能正常
65	验证回答中其他组件的渲染卡片	P1	AI回复包含信息卡片组件	1. 发送需要结构化信息回答的问题<br>2. 等待AI回复<br>3. 观察回复中的卡片显示<br>4. 检查卡片的布局和内容	1. 消息成功发送<br>2. AI回复包含信息卡片<br>3. 卡片正确渲染布局合理<br>4. 卡片内容完整显示清晰易读
66	验证回答中多种格式混合显示	P0	用户提问需要综合回答的复杂问题	1. 发送复杂问题请介绍电商系统的技术架构并提供示例代码<br>2. 等待AI回复<br>3. 观察回复中的多种格式文字列表代码图表<br>4. 检查各格式的渲染效果	1. 消息成功发送<br>2. AI生成包含多种格式的回复<br>3. 回复中包含文字说明列表代码块等多种格式<br>4. 所有格式都正确渲染相互之间排版协调美观
67	验证回答显示过程中的打字机效果流畅性	P1	AI正在输出较长的回复内容	1. 观察整个回复的输出过程<br>2. 注意打字效果是否有卡顿<br>3. 检查格式切换时的流畅度<br>4. 测试页面的响应性	1. 回复内容逐步显示<br>2. 打字效果流畅无明显卡顿或延迟<br>3. 从文字到列表到代码的格式切换平滑自然<br>4. 页面滚动和其他操作响应及时不受影响
68	验证回答内容的完整性	P0	AI完成一次完整回复	1. 等待AI回复完全显示完成<br>2. 对比AI回复的开始和结束<br>3. 检查是否有内容截断<br>4. 验证所有格式化元素都完整显示	1. AI回复完整显示<br>2. 回复内容从开始到结束连贯完整<br>3. 没有内容被截断或丢失<br>4. 列表代码块图表等所有元素都完整渲染
69	验证回答后的用户交互反馈区显示	P1	AI完成一次回复	1. 查看AI回复的底部区域<br>2. 观察是否显示点赞点踩按钮<br>3. 确认反馈按钮的位置和样式	1. AI回复完整显示<br>2. 回复底部显示点赞和点踩按钮<br>3. 按钮位置合理样式清晰可点击
