ZenO智能分析系统多语言支持功能测试用例 - 第1组(系统级多语言切换)
测试用例编号	测试用例名称	优先级	前置条件	操作步骤	预期结果
013	语言切换-简体中文(zh-CN)	P0	当前语言为英语	1. 点击语言切换按钮<br>2. 选择"简体中文"<br>3. 确认切换	1. 系统语言切换为简体中文<br>2. 所有界面元素显示简体中文<br>3. 切换流畅无延迟
014	语言切换-繁体中文(zh-TW)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"繁體中文"<br>3. 确认切换	1. 系统语言切换为繁体中文<br>2. 简繁体转换准确<br>3. 术语使用符合台湾习惯
015	语言切换-日语(ja)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"日本語"<br>3. 确认切换	1. 系统语言切换为日语<br>2. 平假名、片假名、汉字显示正确<br>3. 界面布局适配良好
016	语言切换-韩语(ko)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"한국어"<br>3. 确认切换	1. 系统语言切换为韩语<br>2. 韩文字符显示正确<br>3. 专业术语翻译准确
017	语言切换-阿拉伯语(ar)	P1	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"العربية"<br>3. 确认切换	1. 系统语言切换为阿拉伯语<br>2. 界面从右至左(RTL)显示<br>3. 阿拉伯文字符正确渲染
018	语言切换-泰语(th)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"ไทย"<br>3. 确认切换	1. 系统语言切换为泰语<br>2. 泰文字符和声调符号显示正确<br>3. 界面元素完整显示
019	语言切换-印地语(hi)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"हिन्दी"<br>3. 确认切换	1. 系统语言切换为印地语<br>2. 天城文字符显示正确<br>3. 文本对齐和布局正常
020	语言偏好持久化-登出后恢复	P0	1. 已登录系统<br>2. 已切换为英语	1. 登出系统<br>2. 重新登录<br>3. 查看系统语言	1. 系统自动恢复为英语<br>2. 用户语言偏好已保存<br>3. 无需重新设置
021	语言偏好持久化-刷新页面	P0	1. 已登录系统<br>2. 当前语言为法语	1. 刷新浏览器页面<br>2. 查看系统语言	1. 系统保持法语显示<br>2. 语言设置未丢失<br>3. 页面加载正常
022	语言偏好持久化-切换浏览器	P1	1. 已登录系统<br>2. 在Chrome中设置为德语	1. 关闭Chrome<br>2. 使用Firefox登录同一账号<br>3. 查看系统语言	1. Firefox中系统显示为德语<br>2. 语言偏好跨浏览器同步<br>3. 设置持久化成功
023	默认语言-新用户首次登录	P0	1. 创建新用户账号<br>2. 首次登录系统	1. 登录系统<br>2. 查看系统语言	1. 系统默认显示简体中文<br>2. 语言切换入口可见<br>3. 可立即切换其他语言
024	导航栏多语言-菜单项	P0	1. 已登录系统<br>2. 切换为英语	1. 查看左侧导航栏<br>2. 检查菜单项文本	1. "历史任务"显示为"Historical tasks"<br>2. "我的系统"显示为"My systems"<br>3. 所有菜单项翻译正确
025	导航栏多语言-新建任务按钮	P0	1. 已登录系统<br>2. 切换为法语	1. 查看左侧导航栏顶部<br>2. 检查按钮文本	1. "新建任务"显示为"Nouvelle tâche"<br>2. 按钮文本完整显示<br>3. 按钮功能正常
026	标签页多语言-对话/仪表盘	P0	1. 已登录系统<br>2. 切换为日语	1. 查看页面顶部标签页<br>2. 检查标签文本	1. "对话"显示为"対話"<br>2. "仪表盘"显示为"ダッシュボード"<br>3. 标签切换功能正常
027	按钮多语言-添加协作者	P0	1. 进入仪表盘页面<br>2. 切换为韩语	1. 查看仪表盘工具栏<br>2. 检查按钮文本	1. "添加协作者"显示为韩文<br>2. 按钮文本清晰可读<br>3. 点击功能正常
028	按钮多语言-添加富文本	P0	1. 进入仪表盘页面<br>2. 切换为西班牙语	1. 查看仪表盘工具栏<br>2. 检查按钮文本	1. "添加富文本"显示为西班牙文<br>2. 按钮图标和文本匹配<br>3. 功能可正常使用
029	按钮多语言-分享按钮	P0	1. 进入仪表盘页面<br>2. 切换为意大利语	1. 查看页面右上角<br>2. 检查分享按钮	1. "分享"显示为"Condividi"<br>2. 按钮样式正确<br>3. 点击弹出分享对话框
030	系统消息多语言-成功提示	P0	1. 已登录系统<br>2. 切换为德语	1. 执行保存操作<br>2. 查看成功提示消息	1. 成功提示显示德语文本<br>2. 提示内容准确<br>3. 提示样式正确显示
031	仪表盘标题多语言-显示	P0	1. 已创建仪表盘<br>2. 切换为英语	1. 进入仪表盘页面<br>2. 查看仪表盘标题	1. 仪表盘标题显示英文<br>2. 标题内容符合设置<br>3. 字体渲染清晰
032	仪表盘标题多语言-编辑	P0	1. 已进入仪表盘<br>2. 当前语言为法语	1. 点击标题编辑按钮<br>2. 输入法语标题<br>3. 保存修改	1. 法语标题保存成功<br>2. 特殊字符正确保存<br>3. 标题显示更新
033	统计卡片-Task Completion Rate	P0	1. 仪表盘包含统计卡片<br>2. 切换为英语	1. 查看任务完成率卡片<br>2. 检查卡片标题	1. 显示"Task Completion Rate"<br>2. 百分比数值正确显示<br>3. 进度条样式正常
034	统计卡片-德语显示	P0	1. 仪表盘包含统计卡片<br>2. 切换为德语	1. 查看任务完成率卡片<br>2. 检查卡片文本	1. 标题显示德语翻译<br>2. 数值格式符合德语习惯<br>3. 卡片布局适配良好
035	统计卡片-Transaction Amount	P0	1. 仪表盘包含交易金额卡片<br>2. 切换为英语	1. 查看交易金额卡片<br>2. 检查卡片内容	1. 显示"Transaction Amount"<br>2. 金额数值正确显示<br>3. "Compared to last week"文本正确
036	统计卡片-多语言数值格式	P1	1. 仪表盘包含金额卡片<br>2. 切换为法语	1. 查看金额显示<br>2. 检查数值格式	1. 金额格式符合法语习惯<br>2. 千位分隔符使用空格<br>3. 小数点使用逗号(如适用)
037	统计卡片-涨跌幅显示	P0	1. 仪表盘包含统计卡片<br>2. 切换为西班牙语	1. 查看涨跌幅标签<br>2. 检查文本显示	1. "Compared to last week"显示西班牙语<br>2. 涨跌幅数值和颜色正确<br>3. 文本布局合理
038	图表组件-Sales amount标题	P0	1. 仪表盘包含销售图表<br>2. 切换为英语	1. 查看图表标题<br>2. 检查标题文本	1. 显示"Sales amount"<br>2. 标题字体和样式正确<br>3. 位置布局合理
039	图表组件-时间范围选择器	P0	1. 仪表盘包含图表<br>2. 切换为英语	1. 查看图表时间选择器<br>2. 检查文本显示	1. 显示"The past 7 days"<br>2. 下拉菜单文本为英语<br>3. 时间范围选项翻译正确
040	图表组件-图例多语言	P0	1. 仪表盘包含多系列图表<br>2. 切换为日语	1. 查看图表图例<br>2. 检查图例文本	1. 图例标签显示日语<br>2. 图例与系列对应正确<br>3. 文本清晰可读
041	图表组件-坐标轴标签	P0	1. 仪表盘包含图表<br>2. 切换为韩语	1. 查看图表X轴和Y轴<br>2. 检查坐标轴标签	1. 坐标轴标签显示韩语<br>2. 数值单位符合韩语习惯<br>3. 标签不重叠
042	图表组件-数据标签	P1	1. 仪表盘包含柱状图<br>2. 切换为德语	1. 查看柱状图数据标签<br>2. 检查标签格式	1. 数据标签数值格式正确<br>2. 数值符合德语习惯<br>3. 标签位置合理
043	图表组件-空状态提示	P1	1. 仪表盘包含无数据图表<br>2. 切换为法语	1. 查看空图表区域<br>2. 检查提示文本	1. 显示法语空状态提示<br>2. 提示内容友好<br>3. 样式符合设计
044	文本组件-富文本编辑	P0	1. 仪表盘包含文本组件<br>2. 切换为简体中文	1. 点击文本组件<br>2. 进入编辑模式<br>3. 输入中文内容	1. 支持中文输入<br>2. 格式工具栏显示中文<br>3. 保存后正确显示
045	文本组件-格式工具栏	P0	1. 仪表盘包含文本组件<br>2. 切换为意大利语	1. 点击文本组件编辑<br>2. 查看格式工具栏	1. 工具栏按钮提示为意大利语<br>2. 格式选项翻译正确<br>3. 功能正常可用
046	文本组件-列表样式	P1	1. 文本组件编辑模式<br>2. 切换为英语	1. 添加项目符号列表<br>2. 添加编号列表<br>3. 查看显示效果	1. 列表样式正确显示<br>2. 编号格式符合英语习惯<br>3. 缩进和对齐正常
047	文本组件-多语言混合	P1	1. 仪表盘包含文本组件<br>2. 当前语言为英语	1. 在文本中混合中英文<br>2. 保存内容<br>3. 切换语言查看	1. 混合语言内容正确显示<br>2. 字体渲染良好<br>3. 切换语言不影响内容
048	工具栏-下载PDF按钮	P0	1. 进入仪表盘页面<br>2. 切换为法语	1. 点击分享按钮<br>2. 查看下载选项	1. "下载PDF"显示为"Télécharger PDF"<br>2. 按钮功能正常<br>3. 导出文件正确
049	工具栏-下载PNG按钮	P0	1. 进入仪表盘页面<br>2. 切换为德语	1. 点击分享按钮<br>2. 查看下载选项	1. "下载PNG"显示为德语<br>2. 按钮样式正确<br>3. 导出功能正常
050	工具栏-复制链接按钮	P0	1. 进入仪表盘页面<br>2. 切换为西班牙语	1. 点击分享按钮<br>2. 查看复制选项	1. "复制链接"显示为西班牙语<br>2. 点击后链接复制成功<br>3. 成功提示为西班牙语
051	全屏模式-界面元素	P1	1. 仪表盘已打开<br>2. 切换为日语	1. 点击全屏按钮<br>2. 进入全屏模式<br>3. 查看界面元素	1. 全屏模式下界面显示日语<br>2. 退出全屏按钮文本正确<br>3. 功能按钮可访问
052	仪表盘分享-分享对话框	P0	1. 仪表盘已打开<br>2. 切换为韩语	1. 点击分享按钮<br>2. 查看分享对话框	1. 对话框标题显示韩语<br>2. 选项文本翻译正确<br>3. 确认/取消按钮为韩语
053	仪表盘分享-权限说明	P1	1. 分享对话框已打开<br>2. 切换为英语	1. 查看权限设置区域<br>2. 阅读权限说明文本	1. 权限说明显示英语<br>2. 说明内容清晰易懂<br>3. 专业术语翻译准确
054	仪表盘分享-分享链接页面	P0	1. 已生成分享链接<br>2. 切换为法语后生成链接	1. 在新窗口打开分享链接<br>2. 查看分享页面	1. 分享页面显示法语<br>2. 仪表盘内容语言一致<br>3. 功能按钮翻译正确
055	协作者功能-添加协作者	P0	1. 仪表盘已打开<br>2. 切换为德语	1. 点击"添加协作者"按钮<br>2. 查看邀请对话框	1. 对话框标题显示德语<br>2. 输入框提示文本为德语<br>3. 邀请按钮文本正确
056	协作者功能-协作者列表	P1	1. 仪表盘有协作者<br>2. 切换为意大利语	1. 查看协作者头像区域<br>2. 悬浮查看协作者信息	1. 协作者提示信息显示意大利语<br>2. 角色名称翻译正确<br>3. 信息清晰可读
057	仪表盘编辑模式-编辑提示	P1	1. 仪表盘处于编辑模式<br>2. 切换为西班牙语	1. 查看编辑模式提示<br>2. 检查操作指引	1. 编辑提示显示西班牙语<br>2. 操作指引清晰<br>3. 保存提示正确
058	仪表盘组件菜单-组件选项	P1	1. 仪表盘编辑模式<br>2. 切换为日语	1. 点击组件菜单<br>2. 查看组件选项列表	1. 组件类型名称显示日语<br>2. 组件描述翻译正确<br>3. 图标和文本匹配
059	数据刷新提示-自动刷新	P1	1. 仪表盘已打开<br>2. 切换为韩语<br>3. 数据自动更新	1. 等待数据刷新<br>2. 查看刷新提示	1. 刷新提示显示韩语<br>2. 刷新时间戳格式正确<br>3. 提示样式友好
060	仪表盘列表-历史仪表盘	P0	1. 已创建多个仪表盘<br>2. 切换为法语	1. 返回首页<br>2. 查看历史仪表盘列表	1. 仪表盘标题显示法语<br>2. 创建时间格式符合法语习惯<br>3. 列表操作按钮为法语
061	对话界面-输入框占位符	P0	1. 进入对话页面<br>2. 切换为英语	1. 查看对话输入框<br>2. 检查占位符文本	1. 占位符显示"Enter message"或类似英文<br>2. 文本清晰可读<br>3. 样式符合设计
062	对话界面-发送按钮	P0	1. 进入对话页面<br>2. 切换为德语	1. 查看输入框右侧<br>2. 检查发送按钮	1. 发送按钮显示德语文本或图标<br>2. 按钮功能正常<br>3. 悬浮提示为德语
063	对话界面-新建任务按钮	P0	1. 进入对话页面<br>2. 切换为法语	1. 查看左侧栏顶部<br>2. 检查新建任务按钮	1. 按钮显示"Nouvelle tâche"<br>2. 按钮样式正确<br>3. 点击创建新对话
064	历史对话列表-对话标题	P0	1. 已有历史对话<br>2. 切换为西班牙语	1. 查看左侧对话列表<br>2. 检查对话标题	1. 对话标题显示西班牙语<br>2. 标题内容准确<br>3. 列表排序正常
065	历史对话列表-时间戳	P1	1. 已有历史对话<br>2. 切换为日语	1. 查看对话列表<br>2. 检查时间显示	1. 时间格式符合日语习惯<br>2. 相对时间描述为日语<br>3. 时间戳准确
066	AI回复-分析报告标题	P0	1. 对话页面已打开<br>2. 切换为英语	1. 发送分析请求<br>2. 等待AI生成报告<br>3. 查看报告标题	1. 报告标题显示英语<br>2. 标题内容相关<br>3. 格式清晰
067	AI回复-分析报告段落	P0	1. 对话页面已打开<br>2. 切换为德语	1. 发送分析请求<br>2. 查看AI生成的报告内容	1. 报告段落使用德语表述<br>2. 语法正确,表达流畅<br>3. 专业术语翻译准确
068	AI回复-数据洞察	P0	1. 对话页面已打开<br>2. 切换为法语	1. 发送数据分析请求<br>2. 查看AI的洞察结论	1. 洞察结论使用法语<br>2. 数据解读准确<br>3. 表达符合法语习惯
069	AI回复-列表内容	P0	1. 对话页面已打开<br>2. 切换为西班牙语	1. 发送分析请求<br>2. 查看报告中的列表	1. 列表项使用西班牙语<br>2. 列表序号格式正确<br>3. 内容组织清晰
070	AI回复-建议和总结	P0	1. 对话页面已打开<br>2. 切换为意大利语	1. 发送分析请求<br>2. 查看报告末尾建议	1. 建议内容使用意大利语<br>2. 建议具体可行<br>3. 总结清晰明了
071	AI回复-图表标题	P0	1. 对话页面已打开<br>2. 切换为韩语	1. 请求生成图表分析<br>2. 查看生成的图表<br>3. 检查图表标题	1. 图表标题显示韩语<br>2. 标题与分析内容匹配<br>3. 字体渲染清晰
072	AI回复-图表图例	P0	1. 对话包含图表<br>2. 切换为日语	1. 查看图表图例<br>2. 检查图例文本	1. 图例标签显示日语<br>2. 图例颜色与系列对应<br>3. 文本清晰可读
073	AI回复-图表坐标轴	P0	1. 对话包含图表<br>2. 切换为法语	1. 查看图表坐标轴<br>2. 检查轴标签	1. X轴和Y轴标签显示法语<br>2. 数值单位正确<br>3. 标签不重叠
074	AI回复-数据表格	P1	1. 对话包含数据表格<br>2. 切换为德语	1. 查看表格内容<br>2. 检查表头和数据	1. 表头字段名显示德语<br>2. 数据格式符合德语习惯<br>3. 表格排版整齐
075	分析报告-总体概述	P0	1. 对话页面已打开<br>2. 切换为英语	1. 请求销售数据分析<br>2. 查看报告总体概述部分	1. 概述使用英语表述<br>2. 内容涵盖关键指标<br>3. 表达专业准确
076	分析报告-趋势分析	P0	1. 对话包含分析报告<br>2. 切换为西班牙语	1. 滚动到趋势分析部分<br>2. 查看趋势描述	1. 趋势分析使用西班牙语<br>2. 时间表达符合习惯<br>3. 趋势判断准确
077	分析报告-对比分析	P0	1. 对话包含分析报告<br>2. 切换为法语	1. 查看对比分析部分<br>2. 检查对比描述	1. 对比内容使用法语<br>2. 对比维度清晰<br>3. 结论准确
078	分析报告-关键发现	P0	1. 对话包含分析报告<br>2. 切换为德语	1. 查看关键发现部分<br>2. 检查发现列表	1. 关键发现使用德语<br>2. 发现内容具体<br>3. 优先级明确
079	分析报告-月度比较	P1	1. 对话包含时间对比<br>2. 切换为日语	1. 查看月度比较部分<br>2. 检查月份显示	1. 月份名称使用日语<br>2. 数据对比清晰<br>3. 时间格式正确
080	分析报告-数据质量说明	P1	1. 对话包含数据分析<br>2. 切换为韩语	1. 查看数据质量部分<br>2. 检查质量说明	1. 质量说明使用韩语<br>2. 说明内容专业<br>3. 问题描述清晰
081	分析过程提示-正在分析	P0	1. 对话页面已打开<br>2. 切换为英语	1. 发送分析请求<br>2. 观察加载提示	1. 显示"Analyzing..."或类似英文<br>2. 加载动画正常<br>3. 提示清晰可见
082	分析过程提示-数据加载	P0	1. 对话页面已打开<br>2. 切换为法语	1. 上传数据文件<br>2. 观察加载状态	1. 加载提示显示法语<br>2. 进度百分比正确<br>3. 状态更新及时
083	分析过程提示-构建结构	P1	1. 对话页面已打开<br>2. 切换为德语	1. 发送复杂分析请求<br>2. 观察分析步骤提示	1. 步骤描述使用德语<br>2. 如"正在构建数据结构"翻译正确<br>3. 进度可见
084	错误提示-数据格式错误	P0	1. 对话页面已打开<br>2. 切换为西班牙语	1. 上传格式错误的文件<br>2. 查看错误提示	1. 错误提示显示西班牙语<br>2. 错误原因清晰<br>3. 提供解决建议
085	错误提示-分析失败	P0	1. 对话页面已打开<br>2. 切换为意大利语	1. 触发分析失败场景<br>2. 查看失败提示	1. 失败提示显示意大利语<br>2. 失败原因明确<br>3. 提供重试选项
086	错误提示-网络异常	P1	1. 对话页面已打开<br>2. 切换为日语<br>3. 模拟网络异常	1. 执行操作<br>2. 查看错误提示	1. 网络错误提示显示日语<br>2. 提示用户检查网络<br>3. 样式醒目
087	对话操作-复制回复内容	P1	1. 对话包含AI回复<br>2. 切换为韩语	1. 悬浮在回复上<br>2. 点击复制按钮<br>3. 查看成功提示	1. 复制按钮提示为韩语<br>2. 内容复制成功<br>3. 成功提示为韩语
088	对话操作-重新生成	P1	1. 对话包含AI回复<br>2. 切换为法语	1. 点击重新生成按钮<br>2. 查看按钮文本和提示	1. 按钮文本显示法语<br>2. 确认对话框为法语<br>3. 功能正常执行
089	对话操作-反馈评价	P1	1. 对话包含AI回复<br>2. 切换为德语	1. 点击点赞/点踩按钮<br>2. 查看反馈提示	1. 反馈按钮提示为德语<br>2. 反馈成功提示为德语<br>3. 操作响应流畅
090	对话删除-确认对话框	P1	1. 已有历史对话<br>2. 切换为英语	1. 右键点击对话<br>2. 选择删除<br>3. 查看确认对话框	1. 确认对话框标题为英语<br>2. 警告信息清晰<br>3. 确认/取消按钮文本正确
091	文件上传-上传区域提示	P0	1. 进入智能分析页面<br>2. 切换为英语	1. 查看数据上传区域<br>2. 检查提示文本	1. 提示显示"Upload file"或类似英文<br>2. 支持的格式说明为英语<br>3. 拖拽提示文本正确
092	文件上传-选择文件按钮	P0	1. 进入数据上传界面<br>2. 切换为德语	1. 查看上传按钮<br>2. 检查按钮文本	1. 按钮显示德语文本<br>2. 点击打开文件选择器<br>3. 文件选择器标题为德语
093	文件上传-上传进度	P0	1. 准备上传文件<br>2. 切换为法语	1. 选择大文件上传<br>2. 观察上传进度	1. 进度提示显示法语<br>2. 百分比数值正确<br>3. "正在上传"文本为法语
094	文件上传-上传成功	P0	1. 准备上传文件<br>2. 切换为西班牙语	1. 上传文件<br>2. 查看成功提示	1. 成功提示显示西班牙语<br>2. 文件名正确显示<br>3. 后续操作提示清晰
095	文件上传-上传失败	P0	1. 准备上传文件<br>2. 切换为意大利语	1. 上传不支持的格式<br>2. 查看错误提示	1. 错误提示显示意大利语<br>2. 失败原因明确<br>3. 支持格式提示正确
096	Excel文件-文件名显示	P0	1. 已上传Excel文件<br>2. 切换为日语	1. 查看上传的Excel文件<br>2. 检查文件名显示	1. Excel文件名正确显示<br>2. 文件大小单位为日语<br>3. 文件类型图标正确
097	Excel文件-Sheet选择对话框标题	P0	1. 已上传Excel文件<br>2. 切换为韩语	1. 点击选择Sheet<br>2. 查看对话框	1. 对话框标题显示韩语<br>2. 如"表选择"翻译正确<br>3. 对话框布局合理
098	Excel文件-Sheet列表显示	P0	1. Sheet选择对话框已打开<br>2. 切换为英语	1. 查看Sheet列表<br>2. 检查列表项	1. Sheet名称正确显示<br>2. 复选框状态正常<br>3. 列表滚动流畅
099	Excel文件-搜索Sheet功能	P0	1. Sheet选择对话框已打开<br>2. 切换为法语	1. 查看搜索框<br>2. 输入Sheet名称搜索	1. 搜索框占位符为法语<br>2. 搜索功能正常<br>3. 搜索结果准确
100	Excel文件-全选按钮	P0	1. Sheet选择对话框已打开<br>2. 切换为德语	1. 查看全选选项<br>2. 点击全选	1. "全选"文本显示德语<br>2. 全选功能正常<br>3. 选中状态更新
101	Excel文件-已选择状态提示	P0	1. Sheet选择对话框已打开<br>2. 切换为西班牙语	1. 选择2个Sheet<br>2. 查看状态提示	1. 显示"已选择2/3个表"的西班牙语<br>2. 数量统计准确<br>3. 提示位置合理
102	Excel文件-保存按钮	P0	1. Sheet选择对话框已打开<br>2. 切换为意大利语	1. 选择Sheet<br>2. 查看保存按钮	1. "保存"按钮显示意大利语<br>2. 按钮状态正确(启用/禁用)<br>3. 点击保存成功
103	Excel文件-取消按钮	P0	1. Sheet选择对话框已打开<br>2. 切换为日语	1. 查看取消按钮<br>2. 点击取消	1. "取消"按钮显示日语<br>2. 点击关闭对话框<br>3. 已选状态不保存
104	CSV文件-文件预览	P1	1. 已上传CSV文件<br>2. 切换为韩语	1. 查看CSV文件预览<br>2. 检查预览内容	1. 文件内容正确显示<br>2. 表头显示清晰<br>3. 数据行数提示为韩语
105	CSV文件-编码检测	P1	1. 上传不同编码的CSV<br>2. 切换为法语	1. 上传文件<br>2. 查看编码提示	1. 编码检测提示为法语<br>2. 支持的编码列表正确<br>3. 转换选项清晰
106	文件操作菜单-查看详情	P0	1. 已上传文件<br>2. 切换为德语	1. 点击文件右侧菜单<br>2. 选择"查看详情"	1. 菜单项显示德语<br>2. 详情对话框标题为德语<br>3. 文件信息完整
107	文件操作菜单-下载文件	P0	1. 已上传文件<br>2. 切换为英语	1. 点击文件菜单<br>2. 选择"下载文件"	1. "下载文件"显示英语<br>2. 点击开始下载<br>3. 下载成功提示为英语
108	文件操作菜单-重新导入	P0	1. 已上传文件<br>2. 切换为西班牙语	1. 点击文件菜单<br>2. 选择"重新导入文件"	1. 菜单项显示西班牙语<br>2. 确认对话框为西班牙语<br>3. 重新导入成功
109	文件操作菜单-删除文件	P0	1. 已上传文件<br>2. 切换为法语	1. 点击文件菜单<br>2. 选择"删除"	1. "删除"显示法语<br>2. 确认对话框警告为法语<br>3. 删除成功提示正确
110	数据源选择-数据源类型	P0	1. 进入搭建系统<br>2. 切换为意大利语	1. 查看数据源选择界面<br>2. 检查数据源类型	1. 数据源类型名称显示意大利语<br>2. 如"CSV文件"、"Excel文件"等<br>3. 图标和文本匹配
111	数据源选择-连接配置	P1	1. 选择数据库数据源<br>2. 切换为日语	1. 查看连接配置表单<br>2. 检查表单标签	1. 表单字段标签显示日语<br>2. 占位符文本为日语<br>3. 验证错误提示为日语
112	数据源选择-测试连接	P1	1. 配置数据库连接<br>2. 切换为韩语	1. 点击"测试连接"按钮<br>2. 查看测试结果	1. 按钮文本显示韩语<br>2. 测试中提示为韩语<br>3. 成功/失败结果为韩语
113	文件格式说明-支持格式	P1	1. 进入上传界面<br>2. 切换为德语	1. 查看支持格式说明<br>2. 阅读说明文本	1. 格式列表显示德语<br>2. 格式限制说明清晰<br>3. 示例文件名正确
114	文件格式说明-大小限制	P1	1. 进入上传界面<br>2. 切换为英语	1. 查看文件大小限制<br>2. 检查提示文本	1. 大小限制显示英语<br>2. 单位使用正确(MB/GB)<br>3. 超出限制提示明确
115	文件上传-多文件上传	P1	1. 进入上传界面<br>2. 切换为法语	1. 同时选择多个文件<br>2. 查看上传队列	1. 文件队列显示法语<br>2. 每个文件状态清晰<br>3. 批量操作按钮正确
116	文件上传-拖拽上传提示	P1	1. 进入上传界面<br>2. 切换为西班牙语	1. 拖拽文件到上传区域<br>2. 查看拖拽提示	1. 拖拽提示显示西班牙语<br>2. 提示动画流畅<br>3. 释放提示正确
117	数据预览-数据表格	P0	1. 已选择数据源<br>2. 切换为意大利语	1. 查看数据预览表格<br>2. 检查表格元素	1. 表头字段名显示原始内容<br>2. 分页控件文本为意大利语<br>3. "共X条记录"提示正确
118	数据预览-数据类型	P1	1. 数据预览已打开<br>2. 切换为日语	1. 查看字段数据类型<br>2. 检查类型标签	1. 数据类型名称显示日语<br>2. 如"文本"、"数字"、"日期"等<br>3. 类型图标清晰
119	数据预览-筛选功能	P1	1. 数据预览已打开<br>2. 切换为韩语	1. 点击列筛选按钮<br>2. 查看筛选选项	1. 筛选菜单显示韩语<br>2. 筛选条件翻译正确<br>3. 筛选结果准确
120	数据预览-排序功能	P1	1. 数据预览已打开<br>2. 切换为法语	1. 点击列标题排序<br>2. 查看排序提示	1. 排序提示显示法语<br>2. 升序/降序文本正确<br>3. 排序功能正常
121	分享功能-分享按钮	P0	1. 仪表盘已打开<br>2. 切换为英语	1. 查看页面右上角<br>2. 定位分享按钮	1. "分享"按钮显示"Share"<br>2. 按钮图标和文本匹配<br>3. 点击打开分享菜单
122	分享功能-分享选项菜单	P0	1. 点击分享按钮<br>2. 切换为德语	1. 查看分享选项菜单<br>2. 检查菜单项	1. "下载PDF"显示德语<br>2. "下载PNG"显示德语<br>3. "复制链接"显示德语
123	分享功能-复制链接成功	P0	1. 分享菜单已打开<br>2. 切换为法语	1. 点击"复制链接"<br>2. 查看成功提示	1. 链接复制到剪贴板<br>2. 成功提示显示法语<br>3. 提示自动消失
